num_threads,vector_size,mfc/s,counter
4, 8000000 ,174.072," "
5, 8000000 ,210.776," "
6, 8000000 ,228.044," "
7, 8000000 ,276.186," "
8, 8000000 ,300.526," "
9, 8000000 ,329.557," "
10, 8000000 ,353.435," "
11, 8000000 ,368.324," "
12, 8000000 ,397.97," "
13, 8000000 ,270.911," "
14, 8000000 ,440.068," "
15, 8000000 ,333.862," "
16, 8000000 ,296.659," "
1, 9000000 ,61.6852," "
2, 9000000 ,106.846," "
3, 9000000 ,144.388," "
4, 9000000 ,179.108," "
5, 9000000 ,214.797," "
6, 9000000 ,247.164," "
7, 9000000 ,276.438," "
8, 9000000 ,309.406," "
9, 9000000 ,341.569," "
10, 9000000 ,364.786," "
11, 9000000 ,372.779," "
12, 9000000 ,418.002," "
13, 9000000 ,431.406," "
14, 9000000 ,467.727," "
15, 9000000 ,401.66," "
16, 9000000 ,301.851," "
1, 10000000 ,66.8802," "
2, 10000000 ,109.088," "
3, 10000000 ,147.767," "
4, 10000000 ,182.05," "
5, 10000000 ,222.01," "
6, 10000000 ,254.136," "
7, 10000000 ,284.115," "
8, 10000000 ,321.244," "
9, 10000000 ,346.093," "
10, 10000000 ,382.292," "
11, 10000000 ,278.823," "
12, 10000000 ,433.332," "
13, 10000000 ,409.568," "
14, 10000000 ,479.157," "
15, 10000000 ,501.832," "
16, 10000000 ,333.801," "
1, 1000000 ,38.2526," "
2, 1000000 ,69.1994," "
3, 1000000 ,87.7501," "
4, 1000000 ,107.701," "
5, 1000000 ,116.768," "
6, 1000000 ,124.953," "
7, 1000000 ,134.084," "
8, 1000000 ,144.613," "
9, 1000000 ,159.337," "
10, 1000000 ,154.847," "
11, 1000000 ,138.408," "
12, 1000000 ,116.904," "
13, 1000000 ,71.8081," "
14, 1000000 ,71.9528," "
15, 1000000 ,169.176," "
16, 1000000 ,146.135," "
1, 2000000 ,41.9366," "
2, 2000000 ,78.672," "
3, 2000000 ,107.677," "
4, 2000000 ,129.601," "
5, 2000000 ,147.842," "
6, 2000000 ,169.019," "
7, 2000000 ,183.352," "
8, 2000000 ,205.761," "
9, 2000000 ,209.578," "
10, 2000000 ,213.744," "
11, 2000000 ,230.441," "
12, 2000000 ,237.756," "
13, 2000000 ,249.159," "
14, 2000000 ,250.156," "
15, 2000000 ,144.425," "
16, 2000000 ,141.423," "
1, 3000000 ,47.8774," "
2, 3000000 ,85.3315," "
3, 3000000 ,114.96," "
4, 3000000 ,147.044," "
5, 3000000 ,171.664," "
6, 3000000 ,194.263," "
7, 3000000 ,217.881," "
8, 3000000 ,240.231," "
9, 3000000 ,250.836," "
10, 3000000 ,261.279," "
11, 3000000 ,267.809," "
12, 3000000 ,185.54," "
13, 3000000 ,299.013," "
14, 3000000 ,317.965," "
15, 3000000 ,323.241," "
16, 3000000 ,197.668," "
1, 4000000 ,50.4515," "
2, 4000000 ,87.6885," "
3, 4000000 ,122.926," "
4, 4000000 ,154.125," "
5, 4000000 ,182.615," "
6, 4000000 ,210.582," "
7, 4000000 ,237.164," "
8, 4000000 ,255.493," "
9, 4000000 ,276.262," "
10, 4000000 ,300.797," "
11, 4000000 ,311.454," "
12, 4000000 ,327.145," "
13, 4000000 ,303.744," "
14, 4000000 ,346.56," "
15, 4000000 ,240.877," "
16, 4000000 ,264.638," "
1, 5000000 ,52.9942," "
2, 5000000 ,94.0079," "
3, 5000000 ,127.6," "
4, 5000000 ,158.846," "
5, 5000000 ,193.013," "
6, 5000000 ,219.52," "
7, 5000000 ,250.928," "
8, 5000000 ,274.755," "
9, 5000000 ,293.997," "
10, 5000000 ,315.577," "
11, 5000000 ,331.543," "
12, 5000000 ,342.185," "
13, 5000000 ,328.666," "
14, 5000000 ,363.769," "
15, 5000000 ,251.37," "
16, 5000000 ,383.612," "
1, 6000000 ,55.5967," "
2, 6000000 ,97.144," "
3, 6000000 ,128.427," "
4, 6000000 ,166.269," "
5, 6000000 ,198.774," "
6, 6000000 ,211.29," "
7, 6000000 ,257.014," "
8, 6000000 ,286.383," "
9, 6000000 ,303.967," "
10, 6000000 ,335.495," "
11, 6000000 ,352.941," "
12, 6000000 ,376.317," "
13, 6000000 ,393.856," "
14, 6000000 ,346.54," "
15, 6000000 ,271.064," "
16, 6000000 ,439.367," "
1, 7000000 ,58.1125," "
2, 7000000 ,100.753," "
3, 7000000 ,136.327," "
4, 7000000 ,169.307," "
5, 7000000 ,202.711," "
6, 7000000 ,234.923," "
7, 7000000 ,269.055," "
8, 7000000 ,292.985," "
9, 7000000 ,295.197," "
10, 7000000 ,343.761," "
11, 7000000 ,369.901," "
12, 7000000 ,386.356," "
13, 7000000 ,378.235," "
14, 7000000 ,431.3," "
15, 7000000 ,442.478," "
16, 7000000 ,284.842," "
1, 8000000 ,59.8046," "
2, 8000000 ,103.662," "
3, 8000000 ,140.872," "
4, 8000000 ,174.814," "
5, 8000000 ,210.643," "
6, 8000000 ,239.772," "
7, 8000000 ,274.433," "
8, 8000000 ,301.727," "
